,一部事務組合等コード表（令和７年10月23日現在）,,,,,,,
,108821,多野藤岡広域市町村圏振興整備組合,たのふじおかこういきしちょうそんけんしんこうせいびくみあい,昭和47年8月1日,3750014,群馬県藤岡市下栗須124番地6,0274241621,
,108839,利根沼田学校組合,とねぬまたがっこうくみあい,昭和47年12月23日,3791313,群馬県利根郡みなかみ町月夜野591番地（利根商業高等学校内）,0278622202,
,108901,大泉町外二町環境衛生施設組合,おおいずみまちほかにちょうかんきょうえいせいしせつくみあい,昭和51年3月22日,3700512,群馬県邑楽郡大泉町大字上小泉330番地の１,0276631266,
,108928,利根東部衛生施設組合,とねとうぶえいせいしせつくみあい,昭和52年4月27日,3780403,群馬県利根郡片品村大字菅沼251番地10（尾瀬クリーンセンター内）,0278582016,
,108936,富岡地域医療企業団,とみおかちいきいりょうきぎょうだん,昭和52年7月1日,3702316,群馬県富岡市富岡2073番地1（公立富岡総合病院内）,0274632111,
,108944,下仁田南牧医療事務組合,しもにたなんもくいりょうじむくみあい,昭和52年7月1日,3702601,群馬県甘楽郡下仁田町大字下仁田409（下仁田厚生病院内）,0274823555,
,109061,群馬県市町村総合事務組合,ぐんまけんしちょうそんそうごうじむくみあい,平成2年10月1日,3710846,群馬県前橋市元総社町335番地の8（群馬県市町村会館内）,0272901352,
,109088,吾妻広域町村圏振興整備組合（事業会計分）,あがつまこういきちょうそんけんしんこうせいびくみあい（じぎょうかいけいぶん）,昭和47年6月1日,3770425,群馬県吾妻郡中之条町大字西中之条135番地（バイテック文化ホール(中之条町文化会館)内）,0279754700,
,109134,西吾妻福祉病院組合,にしあがつまふくしびょういんくみあい,平成11年2月10日,3771308,群馬県吾妻郡長野原町大字大津746番地の4,0279820232,
,109142,太田市外三町広域清掃組合,おおたしほかさんちょうこういきせいそうくみあい,平成11年5月1日,3730842,群馬県太田市細谷町604番地1,0276337980,
,109185,群馬県後期高齢者医療広域連合,ぐんまけんこうきこうれいしゃいりょうこういきれんごう,平成19年2月19日,3710854,群馬県前橋市大渡町一丁目10番地7（群馬県公社総合ビル６階）,0272567171,
,109193,群馬東部水道企業団,ぐんまとうぶすいどうきぎょうだん,平成27年10月1日,3730853,群馬県太田市浜町11番28号,0276495355,
,109207,吾妻環境施設組合,あがつまかんきょうしせつくみあい,令和2年7月27日,3770892,群馬県吾妻郡東吾妻町大字原町1046番地,0279682111,
,118061,埼葛斎場組合,さいかつさいじょうくみあい,昭和31年1月24日,3440051,埼玉県春日部市内牧１４３１番地,0487521531,
,118087,蓮田白岡衛生組合,はすだしらおかえいせいくみあい,昭和35年10月19日,3490204,埼玉県白岡市篠津1279番地の５,0487663738,
,118095,久喜宮代衛生組合,くきみやしろえいせいくみあい,昭和36年3月16日,3450836,埼玉県南埼玉郡宮代町大字和戸1276-1,0480342042,
,118109,朝霞地区一部事務組合,あさかちくいちぶじむくみあい,昭和36年12月22日,3510023,埼玉県朝霞市溝沼１丁目２番２７号,0484612415,
,118133,皆野・長瀞下水道組合(事業会計分）,みなのながとろげすいどうくみあい（じぎょうかいけいぶん）,昭和37年12月1日,3691303,埼玉県秩父郡長瀞町大字中野上２３４番地１,0494660747,
,118141,上尾、桶川、伊奈衛生組合,あげおおけがわいなえいせいくみあい,昭和39年5月10日,3630007,埼玉県桶川市大字小針領家１１６０,0487286071,
,118150,志木地区衛生組合,しきちくえいせいくみあい,昭和39年6月1日,3540031,埼玉県富士見市大字勝瀬４８０番地,0492541125,
,118168,北本地区衛生組合,きたもとちくえいせいくみあい,昭和39年7月7日,3640011,埼玉県北本市朝日１－２００,0485915490,
,118176,入間西部衛生組合,いるませいぶえいせいくみあい,昭和40年4月2日,3501234,埼玉県日高市大字上鹿山792-4,0429851234,
,118206,小川地区衛生組合,おがわちくえいせいくみあい,昭和39年2月1日,3550314,埼玉県比企郡小川町大字中爪１６８１－２,0493720441,
,118214,坂戸地区衛生組合,さかどちくえいせいくみあい,昭和40年5月18日,3500271,埼玉県坂戸市大字上吉田６５１－１,0492833561,
,118249,東埼玉資源環境組合,ひがしさいたましげんかんきょうくみあい,昭和40年10月1日,3430011,埼玉県越谷市増林三丁目2番地1,0489660122,
,118273,蕨戸田衛生センター組合,わらびとだえいせいせんたーくみあい,昭和34年6月15日,3350031,埼玉県戸田市大字美女木北１丁目８番地の１,0484212800,
,118303,本庄上里学校給食組合,ほんじょうかみさとがっこうきゅうしょくくみあい,昭和42年4月25日,3670062,埼玉県本庄市小島南１－８－１,0495242621,
,118362,越谷・松伏水道企業団,こしがやまつぶしすいどうきぎょうだん,昭和44年4月1日,3438505,埼玉県越谷市越ヶ谷3-5-22,0489663931,
,118389,桶川北本水道企業団,おけがわきたもとすいどうきぎょうだん,昭和38年10月1日,3640013,埼玉県北本市中丸6-83,0485912775,
,118401,加須市・羽生市水防事務組合,かぞしはにゅうしすいぼうじむくみあい,昭和35年3月10日,3478501,埼玉県加須市三俣二丁目1番地1　加須市建設部治水課内,0480621111,
,118419,荒川北縁水防事務組合,あらかわきたべりすいぼうじむくみあい,昭和38年9月20日,3608601,埼玉県熊谷市宮町二丁目47番地1　熊谷市建設部管理課内,0485241481,
,118435,利根川栗橋流域水防事務組合,とねがわくりはしりゅういきすいぼうじむくみあい,昭和39年3月23日,3468501,埼玉県久喜市下早見８５－３　久喜市消防防災課内,0480221111,
,118443,江戸川水防事務組合,えどがわすいぼうじむくみあい,昭和39年8月1日,3418501,埼玉県三郷市花和田６４８番地１　三郷市危機管理防災課内,0489531111,
,118451,戸田ボートレース企業団,とだぼーとれーすきぎょうだん,昭和29年6月17日,3350024,埼玉県戸田市戸田公園８－２２,0484417712,
,118486,埼玉県市町村総合事務組合,さいたまけんしちょうそんそうごうじむくみあい,昭和37年12月1日,3300062,埼玉県さいたま市浦和区仲町３丁目５番地１号　埼玉県県民健康センター２Ｆ,0488292431,
,118494,埼玉県都市ボートレース企業団,さいたまけんとしぼーとれーすきぎょうだん,昭和32年11月1日,3380002,埼玉県さいたま市中央区下落合1704,0488238711,
,118532,坂戸、鶴ケ島水道企業団,さかどつるがしますいどうきぎょうだん,昭和43年2月1日,3500214,埼玉県坂戸市千代田一丁目1番16号,0492831951,
,118541,坂戸、鶴ケ島下水道組合,さかどつるがしまげすいどうくみあい,昭和43年2月1日,3500214,埼玉県坂戸市千代田一丁目１番16号,0492832051,
,118613,彩北広域清掃組合,さいほくこういきせいそうくみあい,昭和45年3月24日,3610024,埼玉県行田市大字小針856番地,0485593641,
,118630,秩父広域市町村圏組合（普通会計分）,ちちぶこういきしちょうそんけんくみあい（ふつうかいけいぶん）,昭和45年4月1日,3680002,埼玉県秩父市栃谷１４７７番地,0494232242,
,118656,入間東部地区事務組合,いるまとうぶちくじむくみあい,昭和45年11月1日,3560058,埼玉県ふじみ野市大井中央１－１－１９,0492616004,
,118681,吉川松伏消防組合,よしかわまつぶししょうぼうくみあい,昭和46年4月1日,3420016,埼玉県吉川市大字会野谷４８１番地,0489823931,
,118699,児玉郡市広域市町村圏組合,こだまぐんしこういきしちょうそんけんくみあい,昭和46年4月1日,3670024,埼玉県本庄市東五十子１５１番地１,0495272241,
,118711,埼玉西部環境保全組合,さいたませいぶかんきょうほぜんくみあい,昭和46年12月1日,3500303,埼玉県比企郡鳩山町大字熊井819,0492981600,
,118729,大里広域市町村圏組合（事業会計分）,おおさとこういきしちょうそんけんくみあい（じぎょうかいけいぶん）,昭和47年4月1日,3600033,埼玉県熊谷市曙町２丁目６８番地,0485011333,
,118761,坂戸・鶴ケ島消防組合,さかどつるがしましょうぼうくみあい,昭和47年10月1日,3500221,埼玉県坂戸市鎌倉町16-16,0492813118,
,118770,比企広域市町村圏組合,ひきこういきしちょうそんけんくみあい,昭和48年4月1日,3550073,埼玉県東松山市上野本１３００番地１,0493239331,
,118788,川越地区消防組合,かわごえちくしょうぼうくみあい,昭和48年4月1日,3500823,埼玉県川越市神明町４８番地４,0492220741,
,118826,埼玉県央広域事務組合,さいたまけんおうこういきじむくみあい,昭和50年11月1日,3650062,埼玉県鴻巣市箕田1638番地１,0485972001,
,118842,西入間広域消防組合,にしいるまこういきしょうぼうくみあい,昭和51年11月1日,3500441,埼玉県入間郡毛呂山町大字岩井２４５１,0492950119,
,118851,埼玉中部環境保全組合,さいたまちゅうぶかんきょうほぜんくみあい,昭和52年2月1日,3550134,埼玉県比企郡吉見町大字大串2808,0493540666,
,118869,埼玉県浦和競馬組合,さいたまけんうらわけいばくみあい,平成13年5月1日,3360016,埼玉県さいたま市南区大谷場１－８－４２,0488811792,
,118907,毛呂山・越生・鳩山公共下水道組合,もろやまおごせはとやまこうきょうげすいどうくみあい,昭和55年1月1日,3500436,埼玉県入間郡毛呂山町大字川角１５１０番地,0492949333,
,118923,広域飯能斎場組合,こういきはんのうさいじょうくみあい,昭和56年4月1日,3570063,埼玉県飯能市大字飯能９４８番地の３,0429744560,
,118931,広域静苑組合,こういきせいえんくみあい,昭和57年12月1日,3500402,埼玉県入間郡越生町大字鹿下３３８－６,0492925955,
,118958,広域利根斎場組合,こういきとねさいじょうくみあい,昭和63年4月1日,3470014,埼玉県加須市川口4丁目3番地５,0480658234,
,118974,彩の国さいたま人づくり広域連合,さいのくにさいたまひとづくりこういきれんごう,平成11年5月14日,3310804,埼玉県さいたま市北区土呂町2-24-1,0486646662,
,118991,大里広域市町村圏組合（普通会計分）,おおさとこういきしちょうそんけんくみあい（ふつうかいけいぶん）,昭和47年4月1日,3600033,埼玉県熊谷市曙町２丁目６８番地,0485011333,
,119008,埼玉県後期高齢者医療広域連合,さいたまけんこうきこうれいしゃいりょうこういきれんごう,平成19年3月1日,3300074,埼玉県さいたま市浦和区北浦和５－６－５　埼玉県浦和合同庁舎４階,0488333222,
,119016,埼玉西部消防組合,さいたませいぶしょうぼうくみあい,平成25年4月1日,3591118,埼玉県所沢市けやき台一丁目１３番地の１１,0429299132,
,119024,埼玉東部消防組合,さいたまとうぶしょうぼうくみあい,平成25年4月1日,3460021,埼玉県久喜市上早見３９６,0480210119,
,119041,草加八潮消防組合,そうかやしおしょうぼうくみあい,平成27年10月1日,3400012,草加市神明二丁目２番２号,0489240119,
,119059,秩父広域市町村圏組合(事業会計分）,ちちぶこういきしちょうそんけんくみあい（じぎょうかいけいぶん）,昭和45年4月1日,3680002,埼玉県秩父市栃谷１４７７番地,0494232242,
,119067,朝霞和光資源循環組合,あさかわこうしげんじゅんかんくみあい,令和2年10月1日,3510192,埼玉県和光市広沢１番５号,0484242253,
,119075,行田羽生資源環境組合,ぎょうだはにゅうしげんかんきょうくみあい,令和4年4月1日,3618601,埼玉県行田市本丸２番５号,0485778106,
,119083,上尾伊奈資源循環組合,あげおいなしげんじゅんかんくみあい,令和5年4月1日,3620011,埼玉県上尾市平塚951-2,0486589471,
,119091,川島桶川資源循環組合,かわじまおけがわしげんじゅんかんくみあい,令和7年4月1日,3500131,埼玉県比企郡川島町大字平沼１１７５,0492988563,
,128015,三芳水道企業団,みよしすいどうきぎょうだん,昭和39年11月16日,2940045,千葉県館山市北条１１４５－１,0470223729,
,128023,長門川水道企業団,ながとがわすいどうきぎょうだん,昭和46年3月31日,2701515,千葉県印旛郡栄町安食台１－２,0476337718,
,128104,国保国吉病院組合,こくほくによしびょういんくみあい,昭和24年1月20日,2980123,千葉県いすみ市苅谷１１７７,0470862311,
,128112,君津中央病院企業団,きみつちゅうおうびょういんきぎょうだん,昭和39年3月31日,2928535,千葉県木更津市桜井１０１０,0438361071,
,128139,千葉県市町村総合事務組合,ちばけんしちょうそんそうごうじむくみあい,昭和30年11月1日,2600013,千葉県千葉市中央区中央４－１７－８,0433114155,
,128155,東葛中部地区総合開発事務組合,とうかつちゅうぶちくそうごうかいはつじむくみあい,昭和35年5月2日,2770825,千葉県柏市布施２８１－１,0471370078,
,128163,鋸南地区環境衛生組合,きょなんちくかんきょうえいせいくみあい,昭和40年1月5日,2992115,千葉県安房郡鋸南町下佐久間５４４－１,0470550329,
,128287,佐倉市、酒々井町清掃組合,さくらししすいまちせいそうくみあい,昭和41年1月7日,2850913,千葉県印旛郡酒々井町墨１５０６,0434967511,
,128309,東金市外三市町清掃組合,とうがねしほかさんしちょうせいそうくみあい,昭和42年3月30日,2830832,千葉県東金市三ヶ尻３４０,0475559131,
,128317,山武郡市環境衛生組合,さんぶぐんしかんきょうえいせいくみあい,昭和41年3月31日,2891505,千葉県山武市松尾町金尾１１４９－１,0479863131,
,128333,柏・白井・鎌ケ谷環境衛生組合,かしわしろいかまがやかんきょうえいせいくみあい,昭和41年5月4日,2730131,千葉県鎌ケ谷市軽井沢２１０２－１,0474437497,
,128341,印旛衛生施設管理組合,いんばえいせいしせつかんりくみあい,昭和38年4月5日,2850063,千葉県佐倉市宮本３３２,0434981538,
,128350,印西地区衛生組合,いんざいちくえいせいくみあい,昭和39年6月9日,2701512,千葉県印旛郡栄町須賀１９９７－２７,0476950252,
,128384,東総衛生組合,とうそうえいせいくみあい,昭和35年3月1日,2892504,千葉県旭市ニの５９３３,0479620794,
,128414,夷隅環境衛生組合,いすみかんきょうえいせいくみあい,昭和39年2月18日,2980111,千葉県いすみ市万木５,0470862155,
,128449,佐倉市、四街道市、酒々井町葬祭組合,さくらしよつかいどうししすいまちそうさいくみあい,昭和40年7月15日,2850043,千葉県佐倉市大蛇町７９０－４,0434846747,
,128465,一宮聖苑組合,いちのみやせいえんくみあい,昭和37年10月1日,2994396,千葉県長生郡一宮町一宮２４５７,0475421430,
,128473,印旛利根川水防事務組合,いんばとねがわすいぼうじむくみあい,昭和39年4月13日,2701546,千葉県印旛郡栄町生板鍋子新田乙２０－７１,0476958983,
,128538,千葉県競馬組合,ちばけんけいばくみあい,昭和35年3月17日,2730013,千葉県船橋市若松１－２－１,0474312156,
,128546,匝瑳市ほか二町環境衛生組合,そうさしほかにちょうかんきょうえいせいくみあい,昭和44年2月18日,2892105,千葉県匝瑳市山桑７３０,0479738000,
,128571,君津郡市広域市町村圏事務組合,きみつぐんしこういきしちょうそんけんじむくみあい,昭和44年10月15日,2920832,千葉県木更津市新田３－２－２７,0438256121,
,128589,千葉県市町村交通災害共済事業会計,ちばけんしちょうそんこうつうさいがいきょうさいじぎょうかいけい,昭和30年11月1日,2600013,千葉県千葉市中央区中央４－１７－８,0433114155,
,128601,安房郡市広域市町村圏事務組合,あわぐんしこういきしちょうそんけんじむくみあい,昭和45年9月10日,2940036,千葉県館山市館山１５６４－１,0470225633,
,128619,四市複合事務組合,よんしふくごうじむくみあい,昭和45年10月31日,2730005,千葉県船橋市本町２－７－８,0474362772,
,128635,長生郡市広域市町村圏組合（普通会計分）,ちょうせいぐんしこういきしちょうそんけんくみあい（ふつうかいけいぶん）,昭和46年4月1日,2970035,千葉県茂原市下永吉２１０１,0475230107,
,128651,匝瑳市横芝光町消防組合,そうさしよこしばひかりまちしょうぼうくみあい,昭和45年4月17日,2892146,千葉県匝瑳市八日市場ホ７１５,0479721915,
,128660,山武郡市広域行政組合,さんぶぐんしこういきぎょうせいくみあい,昭和46年7月10日,2838505,千葉県東金市東岩崎１－１７,0475540251,
,128678,香取広域市町村圏事務組合,かとりこういきしちょうそんけんじむくみあい,昭和46年9月3日,2890407,千葉県香取市仁良３００－１,0478781181,
,128686,佐倉市八街市酒々井町消防組合,さくらしやちまたししすいまちしょうぼうくみあい,昭和47年4月1日,2858619,千葉県佐倉市大蛇町２８１,0434810119,
,128694,東総地区広域市町村圏事務組合,とうそうちくこういきしちょうそんけんじむくみあい,昭和46年9月18日,2892604,千葉県旭市高生１,0479858040,
,128708,印西地区消防組合,いんざいちくしょうぼうくみあい,昭和47年4月1日,2701387,千葉県印西市牧の原２－３,0476464321,
,128716,九十九里地域水道企業団,くじゅうくりちいきすいどうきぎょうだん,昭和46年12月1日,2830802,千葉県東金市東金７６９－２,0475540631,
,128732,夷隅郡市広域市町村圏事務組合（普通会計分）,いすみぐんしこういきしちょうそんけんじむくみあい（ふつうかいけいぶん）,昭和47年8月1日,2980124,千葉県いすみ市弥正８８－１,0470866600,
,128741,印旛郡市広域市町村圏事務組合（普通会計分）,いんばぐんしこういきしちょうそんけんじむくみあい（ふつうかいけいぶん）,昭和47年9月7日,2858533,千葉県佐倉市宮小路町１２,0434850397,
,128759,北千葉広域水道企業団,きたちばこういきすいどうきぎょうだん,昭和48年3月1日,2710041,千葉県松戸市七右衛門新田５４０－５,0473453211,
,128767,東総広域水道企業団,とうそうこういきすいどうきぎょうだん,昭和48年3月17日,2890602,千葉県香取郡東庄町笹川ろ１,0478863821,
,128775,君津富津広域下水道組合,きみつふっつこういきげすいどうくみあい,昭和48年8月1日,2991192,千葉県君津市久保２－１３－１,0439561255,
,128791,八匝水道企業団,はっそうすいどうきぎょうだん,昭和49年3月28日,2892104,千葉県匝瑳市生尾１０,0479733171,
,128805,山武郡市広域水道企業団,さんぶぐんしこういきすいどうきぎょうだん,昭和49年3月31日,2830062,千葉県東金市家徳３６１－８,0475557851,
,128821,長生郡市広域市町村圏組合（事業会計分）,ちょうせいぐんしこういきしちょうそんけんくみあい（じぎょうかいけいぶん）,昭和46年4月1日,2970035,千葉県茂原市下永吉２１０１,0475230107,
,128830,印西地区環境整備事業組合（普通会計分）,いんざいちくかんきょうせいびじぎょうくみあい（ふつうかいけいぶん）,昭和51年3月22日,2701352,千葉県印西市大塚１－１－１,0476462731,
,128864,印西地区環境整備事業組合（事業会計分）,いんざいちくかんきょうせいびじぎょうくみあい（じぎょうかいけいぶん）,昭和51年3月22日,2701352,千葉県印西市大塚１－１－１,0476462731,
,128881,印旛郡市広域市町村圏事務組合（事業会計分）,いんばぐんしこういきしちょうそんけんじむくみあい（じぎょうかいけいぶん）,昭和47年9月7日,2858533,千葉県佐倉市宮小路町１２,0434850397,
,128899,南房総広域水道企業団,みなみぼうそうこういきすいどうきぎょうだん,平成2年8月1日,2980228,千葉県夷隅郡大多喜町小谷松５００,0470825651,
,128902,千葉県後期高齢者医療広域連合,ちばけんこうきこうれいしゃいりょうこういきれんごう,平成19年1月1日,2630016,千葉県千葉市稲毛区天台６－４－３,0432165011,
,128911,かずさ水道広域連合企業団,かずさすいどうこういきれんごうきぎょうだん,平成31年1月21日,2920834,千葉県木更津市潮見２－８,0438383276,
,128929,夷隅郡市広域市町村圏事務組合（事業会計分）,いすみぐんしこういきしちょうそんけんじむくみあい（じぎょうかいけいぶん）,昭和47年8月1日,2980124,千葉県いすみ市弥正８８－１,0470866600,
,138011,特別区人事・厚生事務組合,とくべつくじんじこうせいじむくみあい,昭和26年8月10日,1020072,東京都千代田区飯田橋３－５－１（東京区政会館内）,0352109917,
,138029,特別区競馬組合,とくべつくけいばくみあい,昭和25年10月6日,1400012,東京都品川区勝島２－１－２,0337632151,
,138037,阿伎留病院企業団,あきるびょういんきぎょうだん,大正12年6月9日,1970834,東京都あきる野市引田７８－１,0425580321,
,138045,昭和病院企業団,しょうわびょういんきぎょうだん,昭和3年7月3日,1878510,東京都小平市花小金井８－１－１,0424610052,
,138061,東京都島嶼町村一部事務組合,とうきょうととうしょちょうそんいちぶじむくみあい,昭和26年9月26日,1050022,東京都港区海岸１－４－１５（島嶼会館内）,0334324961,
,138096,瑞穂斎場組合,みずほさいじょうくみあい,昭和27年11月10日,1901204,東京都西多摩郡瑞穂町大字富士山栗原新田２４４,0425570064,
,138151,ふじみ衛生組合,ふじみえいせいくみあい,昭和35年1月19日,1820012,東京都調布市深大寺東町７－５０－３０,0424825497,
,138169,柳泉園組合,りゅうせんえんくみあい,昭和35年9月30日,2030043,東京都東久留米市下里４－３－１０,0424701555,
,138185,湖南衛生組合,こなんえいせいくみあい,昭和36年6月1日,2080013,東京都武蔵村山市大南５－１,0425611551,
,138207,西多摩衛生組合,にしたまえいせいくみあい,昭和37年6月4日,2050012,東京都羽村市羽４２３５,0425542409,
,138223,多摩川衛生組合,たまがわえいせいくみあい,昭和39年9月1日,2060801,東京都稲城市大丸１５２８,0423773601,
,138231,小平・村山・大和衛生組合,こだいらむらやまやまとえいせいくみあい,昭和40年2月1日,1870033,東京都小平市中島町２－１,0423414345,
,138240,青梅、羽村地区工業用水道企業団,おうめはむらちくこうぎょうようすいどうきぎょうだん,昭和40年2月9日,2050003,東京都羽村市緑ケ丘２－１８－５（羽村市水道事務所内）,0425793217,
,138258,東京都市町村職員退職手当組合,とうきょうとしちょうそんしょくいんたいしょくてあてくみあい,昭和40年4月1日,1830052,東京都府中市新町２－７７－１（東京自治会館内）,0423848041,
,138266,東京都十一市競輪事業組合,とうきょうとじゅういちしけいりんじぎょうくみあい,昭和41年4月7日,1820025,東京都調布市多摩川４－３１－１,0424891311,
,138274,東京都六市競艇事業組合,とうきょうとろくしきょうていじぎょうくみあい,昭和41年4月7日,1320033,東京都江戸川区東小松川３－１－１,0356768700,
,138282,東京都四市競艇事業組合,とうきょうとよんしきょうていじぎょうくみあい,昭和42年4月7日,1820025,東京都調布市多摩川４－３１－１,0423698989,
,138321,東京都市町村議会議員公務災害補償等組合,とうきょうとしちょうそんぎかいぎいんこうむさいがいほしょうとうくみあい,昭和43年2月29日,1830052,東京都府中市新町２－７７－１（東京自治会館内）,0423848041,
,138398,羽村・瑞穂地区学校給食組合,はむらみずほちくがっこうきゅうしょくくみあい,昭和46年4月22日,2050023,東京都羽村市神明台４－２－１９,0425542084,
,138410,東京都三市収益事業組合,とうきょうとさんししゅうえきじぎょうくみあい,昭和48年2月22日,1320033,東京都江戸川区東小松川３－１－１,0336560643,
,138444,西秋川衛生組合,にしあきがわえいせいくみあい,昭和48年7月2日,1900154,東京都あきる野市高尾５２１,0425964418,
,138452,南多摩斎場組合,みなみたまさいじょうくみあい,昭和50年10月1日,1940201,東京都町田市上小山田町２１４７,0427977641,
,138479,東京たま広域資源循環組合,とうきょうたまこういきしげんじゅんかんくみあい,昭和55年11月1日,1900181,東京都西多摩郡日の出町大字大久野７６４２番地,0425976151,
,138487,立川・昭島・国立聖苑組合,たちかわあきしまくにたちせいえんくみあい,昭和60年4月1日,1900021,東京都立川市羽衣町３－２０－１８,0425222730,
,138495,東京市町村総合事務組合,とうきょうしちょうそんそうごうじむくみあい,昭和63年4月1日,1830052,東京都府中市新町２－７７－１（東京自治会館内）,0423845515,
,138517,多摩六都科学館組合,たまろくとかがくかんくみあい,平成2年6月1日,1880014,東京都西東京市芝久保町５－１０－６４,0424696982,
,138525,多摩ニュータウン環境組合,たまにゅーたうんかんきょうくみあい,平成5年4月1日,2060035,東京都多摩市唐木田２－１－１,0423746331,
,138533,秋川流域斎場組合,あきがわりゅういきさいじょうくみあい,平成7年5月1日,1900182,東京都西多摩郡日の出町大字平井３０９２,0425972131,
,138550,臨海部広域斎場組合,りんかいぶこういきさいじょうくみあい,平成11年10月20日,1430001,東京都大田区東海１－３－１,0357552835,
,138568,東京二十三区清掃一部事務組合,とうきょうにじゅうさんくせいそういちぶじむくみあい,平成12年4月1日,1020072,東京都千代田区飯田橋３－５－１（東京区政会館内）,0362380624,
,138576,福生病院企業団,ふっさびょういんきぎょうだん,平成12年4月1日,1978511,東京都福生市加美平１－６－１,0425511111,
,138584,東京都後期高齢者医療広域連合,とうきょうとこうきこうれいしゃいりょうこういきれんごう,平成19年3月1日,1020072,東京都千代田区飯田橋３－５－１（東京区政会館内）,0332224496,
,138592,稲城・府中墓苑組合,いなぎふちゅうぼえんくみあい,平成24年5月1日,2060812,東京都稲城市矢野口３５６７,0423799731,
,138606,浅川清流環境組合,あさかわせいりゅうかんきょうくみあい,平成27年7月1日,1910021,東京都日野市石田１－２１０－２,0425890555,
,148016,小田原市外二ヶ市町組合,おだわらしほかにかしちょうくみあい,明治24年10月26日,2508555,神奈川県小田原市荻窪300,0465331320,
,148024,南足柄市外五ケ市町組合,みなみあしがらしほかごかしちょうくみあい,明治32年3月2日,2500192,神奈川県南足柄市関本440,0465742111,
,148041,南足柄市外二ケ市町組合,みなみあしがらしほかにかしちょうくみあい,昭和5年5月5日,2500192,神奈川県南足柄市関本440,0465742111,
,148059,南足柄市外二ケ町組合,みなみあしがらしほかにかちょうくみあい,昭和5年5月5日,2500192,神奈川県南足柄市関本440,0465742111,
,148067,南足柄市・山北町・開成町一部事務組合,みなみあしがらしやまきたまちかいせいまちいちぶじむくみあい,昭和5年12月3日,2500192,神奈川県南足柄市関本440,0465742111,
,148075,松田町外三ヶ町組合,まつだまちほかさんかちょうくみあい,昭和15年3月19日,2580195,神奈川県足柄上郡山北町山北1301-4,0465753652,
,148130,松田町外二ヶ町組合,まつだまちほかにかちょうくみあい,昭和32年3月28日,2588585,神奈川県足柄上郡松田町松田惣領2037,0465831221,
,148148,金目川水害予防組合,かなめがわすいがいよぼうくみあい,昭和26年8月27日,2548686,神奈川県平塚市浅間町9-1,0463358102,
,148156,秦野市伊勢原市環境衛生組合,はだのしいせはらしかんきょうえいせいくみあい,昭和36年5月20日,2570031,神奈川県秦野市曽屋4624,0463822500,
,148181,高座清掃施設組合,こうざせいそうしせつくみあい,昭和38年12月28日,2430417,神奈川県海老名市本郷1-1,0462382094,
,148199,足柄上衛生組合,あしがらかみえいせいくみあい,昭和39年9月17日,2500101,神奈川県南足柄市班目1547,0465740722,
,148202,神奈川県市町村職員退職手当組合,かながわけんしちょうそんしょくいんたいしょくてあてくみあい,昭和40年5月1日,2310023,神奈川県横浜市中区山下町75,0456647455,
,148229,箱根町外二カ市組合,はこねまちほかにかしくみあい,昭和40年12月7日,2508555,神奈川県小田原市荻窪300,0465331320,
,148237,南足柄市外四ケ市町組合,みなみあしがらしほかよんかしちょうくみあい,昭和41年9月8日,2500192,神奈川県南足柄市関本440,0465742111,
,148253,神奈川県内広域水道企業団,かながわけんないこういきすいどうきぎょうだん,昭和44年5月1日,2418525,神奈川県横浜市旭区矢指町1194,0453631111,
,148270,湯河原町真鶴町衛生組合,ゆがわらまちまなづるまちえいせいくみあい,昭和52年2月1日,2590312,神奈川県足柄下郡湯河原町吉浜2021-95,0465633472,
,148288,広域大和斎場組合,こういきやまとさいじょうくみあい,昭和54年7月28日,2420005,神奈川県大和市西鶴間8-10-8,0462626646,
,148296,足柄東部清掃組合,あしがらとうぶせいそうくみあい,昭和57年2月1日,2580012,神奈川県足柄上郡大井町柳540,0465831554,
,148377,足柄西部清掃組合,あしがらせいぶせいそうくみあい,平成3年4月1日,2580113,神奈川県足柄上郡山北町山北3680,0465764655,
,148393,神奈川県川崎競馬組合,かながわけんかわさきけいばくみあい,平成12年4月1日,2100011,神奈川県川崎市川崎区富士見1-5-1,0442336702,
,148407,厚木愛甲環境施設組合,あつぎあいこうかんきょうしせつくみあい,平成16年4月1日,2430017,神奈川県厚木市栄町1-16-15,0462971153,
,148415,神奈川県後期高齢者医療広域連合,かながわけんこうきこうれいしゃいりょうこういきれんごう,平成19年1月11日,2210052,神奈川県横浜市神奈川区栄町8-1ヨコハマポートサイドビル９階,0454406700,
,148423,神奈川県町村情報システム共同事業組合,かながわけんちょうそんじょうほうしすてむきょうどうじぎょうくみあい,平成23年4月1日,2310023,神奈川県横浜市中区山下町75,0456403195,
,158381,津南地域衛生施設組合,つなんちいきえいせいしせつくみあい,昭和41年8月10日,9498201,新潟県中魚沼郡津南町大字下船渡戊2013番地,0257653495,
,158542,さくら福祉保健事務組合,さくらふくしほけんじむくみあい,昭和28年10月1日,9591766,新潟県五泉市番坂新174番地2,0250585725,
,158607,下越福祉行政事務組合,かえつふくしぎょうせいじむくみあい,昭和35年7月20日,9570053,新潟県新発田市中央町5丁目4番7号,0254261501,
,158615,魚沼地区障害福祉組合,うおぬまちくしょうがいふくしくみあい,昭和36年9月6日,9460035,新潟県魚沼市十日町1403番地1,0257920846,
,158623,新潟県中越福祉事務組合,にいがたけんちゅうえつふくしじむくみあい,昭和37年8月28日,9540036,新潟県見附市田井町4476番地,0258621811,
